category,subcategory,url,product_count
게임,게임 개발,https://www.yes24.com/product/category/display/001001003027003,731.0
게임,게임 기획,https://www.yes24.com/product/category/display/001001003027002,395.0
게임,모바일 게임,https://www.yes24.com/product/category/display/001001003027005,73.0
게임,게임가이드북/화보집,https://www.yes24.com/product/category/display/001001003027004,722.0
그래픽/디자인/멀티미디어,포토샵,https://www.yes24.com/product/category/display/001001003028012,1179.0
그래픽/디자인/멀티미디어,일러스트레이터,https://www.yes24.com/product/category/display/001001003028009,399.0
그래픽/디자인/멀티미디어,프리미어,https://www.yes24.com/product/category/display/001001003028013,190.0
그래픽/디자인/멀티미디어,애프터이펙트,https://www.yes24.com/product/category/display/001001003028015,147.0
그래픽/디자인/멀티미디어,3DS/MAX,https://www.yes24.com/product/category/display/001001003028001,684.0
그래픽/디자인/멀티미디어,건축CG,https://www.yes24.com/product/category/display/001001003028002,234.0
그래픽/디자인/멀티미디어,그래픽일반/자료집,https://www.yes24.com/product/category/display/001001003028003,1025.0
그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,https://www.yes24.com/product/category/display/001001003028004,1004.0
그래픽/디자인/멀티미디어,디렉터,https://www.yes24.com/product/category/display/001001003028005,71.0
그래픽/디자인/멀티미디어,라이트룸,https://www.yes24.com/product/category/display/001001003028006,35.0
그래픽/디자인/멀티미디어,베가스,https://www.yes24.com/product/category/display/001001003028007,42.0
그래픽/디자인/멀티미디어,인디자인,https://www.yes24.com/product/category/display/001001003028008,76.0
그래픽/디자인/멀티미디어,캐릭터/애니메이션,https://www.yes24.com/product/category/display/001001003028010,246.0
그래픽/디자인/멀티미디어,페인터,https://www.yes24.com/product/category/display/001001003028011,45.0
그래픽/디자인/멀티미디어,플래시,https://www.yes24.com/product/category/display/001001003028014,389.0
그래픽/디자인/멀티미디어,AUTOCAD,,
그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,https://www.yes24.com/product/category/display/001001003028017,462.0
그래픽/디자인/멀티미디어,디지털 카메라,https://www.yes24.com/product/category/display/001001003028018,291.0
네트워크/해킹/보안,네트워크 일반,https://www.yes24.com/product/category/display/001001003024001,1622.0
네트워크/해킹/보안,TCP/IP,https://www.yes24.com/product/category/display/001001003024002,67.0
네트워크/해킹/보안,보안/해킹,https://www.yes24.com/product/category/display/001001003024003,927.0
모바일 프로그래밍,아이폰,https://www.yes24.com/product/category/display/001001003023001,263.0
모바일 프로그래밍,안드로이드폰,https://www.yes24.com/product/category/display/001001003023002,466.0
