category,subcategory,url,product_count
게임,게임 개발,https://www.yes24.com/product/category/display/001001003027003,727
게임,게임 기획,https://www.yes24.com/product/category/display/001001003027002,394
게임,모바일 게임,https://www.yes24.com/product/category/display/001001003027005,73
게임,게임가이드북/화보집,https://www.yes24.com/product/category/display/001001003027004,721
그래픽/디자인/멀티미디어,포토샵,https://www.yes24.com/product/category/display/001001003028012,1179
그래픽/디자인/멀티미디어,일러스트레이터,https://www.yes24.com/product/category/display/001001003028009,398
그래픽/디자인/멀티미디어,프리미어,https://www.yes24.com/product/category/display/001001003028013,190
그래픽/디자인/멀티미디어,애프터이펙트,https://www.yes24.com/product/category/display/001001003028015,147
그래픽/디자인/멀티미디어,3DS/MAX,https://www.yes24.com/product/category/display/001001003028001,660
그래픽/디자인/멀티미디어,건축CG,https://www.yes24.com/product/category/display/001001003028002,234
그래픽/디자인/멀티미디어,그래픽일반/자료집,https://www.yes24.com/product/category/display/001001003028003,1019
그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,https://www.yes24.com/product/category/display/001001003028004,996
그래픽/디자인/멀티미디어,디렉터,https://www.yes24.com/product/category/display/001001003028005,71
그래픽/디자인/멀티미디어,라이트룸,https://www.yes24.com/product/category/display/001001003028006,35
그래픽/디자인/멀티미디어,베가스,https://www.yes24.com/product/category/display/001001003028007,42
그래픽/디자인/멀티미디어,인디자인,https://www.yes24.com/product/category/display/001001003028008,76
그래픽/디자인/멀티미디어,캐릭터/애니메이션,https://www.yes24.com/product/category/display/001001003028010,243
그래픽/디자인/멀티미디어,페인터,https://www.yes24.com/product/category/display/001001003028011,45
그래픽/디자인/멀티미디어,플래시,https://www.yes24.com/product/category/display/001001003028014,389
그래픽/디자인/멀티미디어,AUTOCAD,https://www.yes24.com/product/category/display/001001003028016,1320
그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,https://www.yes24.com/product/category/display/001001003028017,459
그래픽/디자인/멀티미디어,디지털 카메라,https://www.yes24.com/product/category/display/001001003028018,291
네트워크/해킹/보안,네트워크 일반,https://www.yes24.com/product/category/display/001001003024001,1619
네트워크/해킹/보안,TCP/IP,https://www.yes24.com/product/category/display/001001003024002,67
네트워크/해킹/보안,보안/해킹,https://www.yes24.com/product/category/display/001001003024003,918
모바일 프로그래밍,아이폰,https://www.yes24.com/product/category/display/001001003023001,261
모바일 프로그래밍,안드로이드폰,https://www.yes24.com/product/category/display/001001003023002,464
모바일 프로그래밍,윈도우폰,https://www.yes24.com/product/category/display/001001003023003,24
모바일 프로그래밍,모바일 게임,https://www.yes24.com/product/category/display/001001003023004,68
